app_category,general_category
OTHER,OTHER
COMMUNICATION,COMMUNICATION
PRODUCTIVITY,PRODUCTIVITY_AND_ADMIN
TOOLS,PRODUCTIVITY_AND_ADMIN
EDUCATION,PRODUCTIVITY_AND_ADMIN
BUSINESS,PRODUCTIVITY_AND_ADMIN
BOOKS_AND_REFERENCE,PRODUCTIVITY_AND_ADMIN
FINANCE,PRODUCTIVITY_AND_ADMIN
PERSONALIZATION,PRODUCTIVITY_AND_ADMIN
LIFESTYLE,HEALTH
HEALTH_AND_FITNESS,HEALTH
MEDICAL,HEALTH
ENTERTAINMENT,INTERNET_AND_SOCIAL
NEWS_AND_MAGAZINES,INTERNET_AND_SOCIAL
SPORTS,INTERNET_AND_SOCIAL
SOCIAL,INTERNET_AND_SOCIAL
TRAVEL_AND_LOCAL,MAPS_AND_TRAVEL
WEATHER,MAPS_AND_TRAVEL
TRANSPORTATION,MAPS_AND_TRAVEL
SHOPPING,MAPS_AND_TRAVEL
MUSIC_AND_AUDIO,MEDIA
PHOTOGRAPHY,MEDIA
MEDIA_AND_VIDEO,MEDIA
GAME_SIMULATION,GAMES
GAME_STRATEGY,GAMES
GAME_CARD,GAMES
GAME_CASINO,GAMES
GAME_ROLE_PLAYING,GAMES
GAME_BOARD,GAMES
GAME_WORD,GAMES
GAME_TRIVIA,GAMES
GAME_PUZZLE,GAMES
GAME_SPORTS,GAMES
GAME_ARCADE,GAMES
GAME_ACTION,GAMES
GAME_RACING,GAMES
GAME_CASUAL,GAMES
GAME_ADVENTURE,GAMES
PARENTING,HEALTH
DATING,INTERNET_AND_SOCIAL
LIBRARIES_AND_DEMO,OTHER
EVENTS,INTERNET_AND_SOCIAL
HOUSE_AND_HOME,PRODUCTIVITY_AND_ADMIN
COMICS,INTERNET_AND_SOCIAL
VIDEO_PLAYERS,MEDIA
GAME_MUSIC,GAMES
AUTO_AND_VEHICLES,MAPS_AND_TRAVEL
FOOD_AND_DRINK,HEALTH